0.000000000000000000e+00 1.736740813014326701e+00 6.658486563352445842e+01
3.125000000000000000e-01 2.290271702282494770e-01 9.646678531456458483e-01
6.250000000000000000e-01 1.482030568005528182e-01 5.049727114204125566e-01
9.375000000000000000e-01 1.267162551464192211e+00 2.844228029919347378e+01
1.250000000000000000e+00 5.041165494355059895e-01 1.766769665717100812e+00
1.562500000000000000e+00 4.561949860929083167e-01 9.928728415351638636e-01
1.875000000000000000e+00 7.514667182000336343e-01 2.379057396035221039e+00
2.187500000000000000e+00 1.437880741352044023e+00 6.428406832636725632e+00
2.500000000000000000e+00 1.738506464517478811e+00 2.822813832769609022e+01
2.812500000000000000e+00 6.966102160065666959e-01 3.396320368170071546e+00
3.125000000000000000e+00 2.563627215113967850e+00 1.124522481884771281e+02
3.437500000000000000e+00 1.305326015298531095e+00 6.248843237363056247e+00
3.750000000000000000e+00 3.604778332514732231e+00 4.483097063358621170e+01
4.062500000000000000e+00 6.262339108243751840e-01 2.171333643195233698e+00
4.375000000000000000e+00 4.236898618034425468e+00 2.388605703573134917e+02
4.687500000000000000e+00 7.889792794672370047e-01 3.454853213443525917e+00
5.000000000000000000e+00 7.024396777994110330e+00 3.501274112954595807e+02
5.312500000000000000e+00 1.957734503266138182e+00 1.341207214252940894e+01
5.625000000000000000e+00 2.582076397045763194e+00 1.385742519064470279e+01
5.937500000000000000e+00 7.212790476400471107e+00 2.715531395524300819e+02
6.250000000000000000e+00 8.353221583699077968e+00 2.341244160299915791e+02
6.562500000000000000e+00 1.104151369594896970e+01 5.113177425162774057e+02
6.875000000000000000e+00 9.060949093119409881e+00 3.149564290435951648e+02
7.187500000000000000e+00 6.408765832318033873e+00 4.394033311599235248e+01
7.500000000000000000e+00 1.699594180243943953e+01 6.313305711587496489e+02
7.812500000000000000e+00 1.125158298353913899e+01 4.631289964792180740e+02
8.125000000000000000e+00 1.759176019647938460e+01 7.050335473830499495e+02
8.437500000000000000e+00 1.300415608977865567e+01 4.323350938230210545e+02
8.750000000000000000e+00 8.768700695678150581e+00 2.235286540115128275e+02
9.062500000000000000e+00 1.759836591365121095e+01 6.494587710295755869e+02
9.375000000000000000e+00 1.435340322417906478e+01 5.170874969414478528e+02
9.687500000000000000e+00 1.085486723553356470e+01 3.219989112596779819e+02


0.000000000000000000e+00 5.476325773893960580e+00 4.155556740973586329e+02
3.125000000000000000e-01 1.084173585210690938e+01 4.694375244162836793e+02
6.250000000000000000e-01 6.452511040417847177e+00 2.291452270224634091e+01
9.375000000000000000e-01 7.933936233579865771e+00 1.393669772421826281e+02
1.250000000000000000e+00 8.261715663806111110e+00 1.609937095296528753e+01
1.562500000000000000e+00 2.554837755710725489e+01 1.551296706616948541e+03
1.875000000000000000e+00 1.915486945976094546e+01 1.439213875565772923e+03
